======================================== [1] 2025-12-02 17:12:38
=== OSD Performance ===
osd  commit_latency(ms)  apply_latency(ms)
 15                  18                 18
  2                   0                  0
 33                   4                  4
  4                   0                  0
  6                   0                  0
 35                  30                 30
  3                   0                  0
 32                   5                  5
 39                  26                 26
  0                   0                  0
  9                  13                 13
 12                  26                 26
 18                  12                 12
 19                  24                 24
 42                  50                 50
 11                  22                 22
 40                  38                 38
 21                  37                 37
 36                  25                 25
  7                   0                  0
 22                  30                 30
 26                  40                 40

======================================== [15] 2025-12-02 17:14:13
=== OSD Performance ===
osd  commit_latency(ms)  apply_latency(ms)
 41                   2                  2
 31                  29                 29
 23                  50                 50
 20                  23                 23
 34                  25                 25
 16                  34                 34
 13                  21                 21
 10                  29                 29
 38                  15                 15
 28                  10                 10
 25                   3                  3
 14                   4                  4
 44                  58                 58
 43                  33                 33
 29                  25                 25
 37                  11                 11
  8                   0                  0
  5                   0                  0
 17                  18                 18
 30                  11                 11
  1                   0                  0
 27                  28                 28
 24                  14                 14
 15                  37                 37
  2                   0                  0
 33                  16                 16
  4                   0                  0
  6                   0                  0
 35                  38                 38
  3                   0                  0
 32                  20                 20
 39                  19                 19
  0                   0                  0
  9                  13                 13
 12                  13                 13
 18                   8                  8
 19                  21                 21
 42                  17                 17
 11                  14                 14
 40                  27                 27
 21                  30                 30
 36                  22                 22
  7                   0                  0
 22                  15                 15
 26                  28                 28

======================================== [16] 2025-12-02 17:14:21
=== OSD Performance ===
osd  commit_latency(ms)  apply_latency(ms)
 41                  24                 24
 31                  11                 11
 23                  25                 25
 20                   9                  9
 34                  35                 35
 16                   8                  8
 13                  30                 30
 10                   6                  6
 38                   4                  4
 28                  43                 43
 25                   4                  4
 14                  46                 46
 44                  22                 22
 43                  27                 27
 29                  27                 27
 37                  10                 10
  8                   0                  0
  5                   0                  0
 17                  12                 12
 30                  20                 20
  1                   0                  0
 27                   5                  5
 24                  21                 21
 15                  25                 25
  2                   0                  0
 33                  30                 30
  4                   0                  0
  6                   0                  0
 35                  43                 43
  3                   0                  0
 32                  35                 35
 39                  19                 19
  0                   0                  0
  9                   9                  9
 12                  19                 19
 18                  31                 31
 19                  25                 25
 42                  55                 55
 11                  27                 27
 40                   5                  5
 21                  24                 24
 36                  10                 10
  7                   0                  0
 22                  45                 45
 26                   7                  7

======================================== [17] 2025-12-02 17:14:27
=== OSD Performance ===
osd  commit_latency(ms)  apply_latency(ms)
 41                  23                 23
 31                  20                 20
 23                  29                 29
 20                  45                 45
 34                  32                 32
 16                  19                 19
 13                  22                 22
 10                  11                 11
 38                  11                 11
 28                  12                 12
 25                  15                 15
 14                  17                 17
 44                   7                  7
 43                  20                 20
 29                  11                 11
 37                  15                 15
  8                   0                  0
  5                   0                  0
 17                  33                 33
 30                   4                  4
  1                   0                  0
 27                  54                 54
 24                   9                  9
 15                   3                  3
  2                   0                  0
 33                  39                 39
  4                   0                  0
  6                   0                  0
 35                  26                 26
  3                   0                  0
 32                  11                 11
 39                  15                 15
  0                   0                  0
  9                  20                 20
 12                  53                 53
 18                  17                 17
 19                  23                 23
 42                  42                 42
 11                  19                 19
 40                  12                 12
 21                  28                 28
 36                  32                 32
  7                   0                  0
 22                  39                 39
 26                  49                 49

======================================== [18] 2025-12-02 17:14:34
=== OSD Performance ===
osd  commit_latency(ms)  apply_latency(ms)
 41                   2                  2
 31                   8                  8
 23                  40                 40
 20                   7                  7
 34                  27                 27
 16                  26                 26
 13                  20                 20
 10                  20                 20
 38                  17                 17
 28                  22                 22
 25                  19                 19
 14                  14                 14
 44                   9                  9
 43                   2                  2
 29                  19                 19
 37                  28                 28
  8                   0                  0
  5                   0                  0
 17                   5                  5
 30                  22                 22
  1                   0                  0
 27                  34                 34
 24                  26                 26
 15                  10                 10
  2                   0                  0
 33                  30                 30
  4                   0                  0
  6                   0                  0
 35                  29                 29
  3                   0                  0
 32                  17                 17
 39                  15                 15
  0                   0                  0
  9                  34                 34
 12                  10                 10
 18                  47                 47
 19                  13                 13
 42                  40                 40
 11                   3                  3
 40                  31                 31
 21                  33                 33
 36                  31                 31
  7                   0                  0
 22                   5                  5
 26                   1                  1

======================================== [19] 2025-12-02 17:14:41
=== OSD Performance ===
osd  commit_latency(ms)  apply_latency(ms)
 41                  33                 33
 31                  12                 12
 23                  33                 33
 20                  41                 41
 34                  12                 12
 16                  27                 27
 13                  16                 16
 10                  25                 25
 38                  16                 16
 28                  20                 20
 25                  23                 23
 14                  19                 19
 44                   4                  4
 43                  35                 35
 29                  32                 32
 37                  22                 22
  8                   0                  0
  5                   0                  0
 17                  15                 15
 30                  19                 19
  1                   0                  0
 27                   4                  4
 24                  18                 18
 15                  29                 29
  2                   0                  0
 33                  35                 35
  4                   0                  0
  6                   0                  0
 35                   5                  5
  3                   0                  0
 32                  13                 13
 39                  25                 25
  0                   0                  0
  9                  32                 32
 12                  16                 16
 18                  15                 15
 19                   7                  7
 42                  17                 17
 11                  21                 21
 40                  12                 12
 21                  29                 29
 36                  11                 11
  7                   0                  0
 22                   7                  7
 26                  28                 28

======================================== [20] 2025-12-02 17:14:48
=== OSD Performance ===
osd  commit_latency(ms)  apply_latency(ms)
